日期,体重
2021/5/15,94.8
2021/6/15,93
2021/7/15,91
2021/8/15,88.8
2021/9/15,86.4
2021/10/15,85.6
2021/11/15,86.1
2021/12/15,86.4
2022/1/15,86.7
2022/2/15,87
2022/3/15,88.2
2022/4/15,87.5
2022/5/15,87.1
2022/6/15,86.7
2022/7/15,87.5
2022/8/15,87.9
2022/9/15,87.5
2022/10/15,88
2022/11/15,87.6
2022/12/15,87.8
2023/1/15,86.2
2023/2/15,87.7
2023/3/15,87.6
2023/4/15,88.1
2023/5/15,87.8
2023/6/15,85.9
2023/7/15,84.6
2023/8/15,82.8
2023/9/15,79.8
2023/10/15,77.6
2023/11/15,76.8
2023/12/15,77
2024/1/15,77.8
2024/2/15,79.1
2024/3/15,79
2024/4/15,79.8
2024/5/15,80
2024/6/15,80.7
2024/7/15,80.4
2024/8/15,81
2024/9/15,81.8
2024/10/15,85.5
2024/11/15,84
2024/12/15,88.4
2025/1/15,87.5
2025/2/15,87.8
2025/3/15,88.1
2025/4/15,89.5
2025/5/9,90.3
2025/5/17,89.2
2025/5/20,90.3
2025/5/21,90.7
2025/5/30,89.2
2025/5/31,88.6
2025/6/1,88.2
2025/6/2,88
2025/6/3,88.1
2025/6/10,87.4
2025/6/11,88.2
2025/6/12,88.9
2025/6/13,87.4
2025/6/14,88
2025/6/19,88.6
2025/6/20,87.6
2025/6/21,88.2
2025/6/22,88.6
2025/6/23,88.7
2025/6/24,88.6
2025/6/25,87.9
2025/6/26,87.2
2025/6/27,86.6
2025/6/28,87.5
2025/6/30,87.9
2025/7/1,89.2
2025/7/2,88.7
2025/7/4,87
2025/7/6,87.8
2025/7/7,87.8
2025/7/9,88.3
2025/7/10,87.8
2025/7/11,87.3
2025/7/13,86
2025/7/14,87
2025/7/15,86.8
2025/7/16,85.4
2025/7/17,85.9
2025/7/18,86.7
2025/7/20,85.9
2025/7/21,86.7
2025/7/22,86.2
2025/7/23,86.7
2025/7/24,85.4
2025/7/25,85.3
2025/7/26,85.7
2025/7/27,85.4
2025/7/28,85.6
2025/7/29,84.9
2025/7/30,84.7
2025/7/31,85.1
2025/8/1,85.6
2025/8/2,85.5
2025/8/3,85.2
2025/8/4,85.7
2025/8/5,85.6
2025/8/6,83.9
2025/8/7,83.7
2025/8/8,84.2
2025/8/9,83.7
2025/8/10,82.9
2025/8/11,83.4
2025/8/12,84.4
2025/8/16,84.4
2025/8/17,83.3
2025/8/18,84.3
2025/8/20,83.6
2025/8/21,83.1
2025/8/22,83.3
2025/8/23,83.2
2025/8/24,82.8
2025/8/27,83.2
2025/8/28,83.9
2025/8/29,82.5
2025/8/30,82.5
2025/8/31,82.4
2025/9/1,83.1
2025/9/2,83.3
2025/9/3,83.6
2025/9/5,83
2025/9/6,82.6
2025/9/7,83
2025/9/8,83.3
2025/9/11,83.1
2025/9/12,82.4
2025/9/13,82.8
2025/9/14,81.4
2025/9/15,82.3
2025/9/16,82.2
2025/9/17,82.2
2025/9/19,80.3
